ID: 19ed938123975e64307e4896, 名称: CCTV-1, 状态: 有效, 接口: http://74.91.26.218:82/live/cctv1hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 51 ms, 速率: 4.81 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 139041b141df4699bf70e7c9, 名称: CCTV-1, 状态: 有效, 接口: http://198.204.228.26/live/cctv1hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 36 ms, 速率: 0.34 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: a77ef013afebb016c376b62b, 名称: CCTV-1, 状态: 有效, 接口: http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 54 ms, 速率: 8.49 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 2b7fe4365e9ca47d75d2a6cd, 名称: CCTV-2, 状态: 有效, 接口: http://107.150.60.122/live/cctv2hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-密苏里州-杰克逊县, 运营商: NOCIX数据中心, 延迟: 54 ms, 速率: 1.56 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 3b3b48a1679143b047f8afc5, 名称: CCTV-2, 状态: 有效, 接口: http://204.12.221.218:8181/3m1080p/cctv2.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-密苏里州-杰克逊县, 运营商: WholeSale互联网股份有限公司, 延迟: 36 ms, 速率: 0.33 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 8c29f85dbf757f1bee2c4a41, 名称: CCTV-3, 状态: 有效, 接口: http://107.150.60.122/live/cctv3hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-密苏里州-杰克逊县, 运营商: NOCIX数据中心, 延迟: 52 ms, 速率: 7.85 MiB/s, 分辨率: 1920x1080, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 5ae49c7b68b11e8ad61a0514, 名称: CCTV-3, 状态: 有效, 接口: http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 54 ms, 速率: 0.78 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 9bc24c7fdbb774f5cc31de7a, 名称: CCTV-3, 状态: 有效, 接口: http://74.91.26.218:82/live/cctv3hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 53 ms, 速率: 1.80 MiB/s, 分辨率: 1920x1080, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 8716a0d1e46d6ca5b56e70ec, 名称: CCTV-4, 状态: 有效, 接口: http://107.150.60.122/live/cctv4hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-密苏里州-杰克逊县, 运营商: NOCIX数据中心, 延迟: 36 ms, 速率: 0.96 MiB/s, 分辨率: 1920x1080, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: f30a2e95b8ebb479e36f0f41, 名称: CCTV-4, 状态: 有效, 接口: http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=%2A%2A%2A, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-加利福尼亚州-洛杉矶, 运营商: GlobalTeleHost, 延迟: 54 ms, 速率: 0.34 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: fda00bac3f21f96fb5889b30, 名称: CCTV-4, 状态: 有效, 接口: http://207.56.13.146:81/cdnlive/cctv4.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-科罗拉多州, 运营商: NTT(美国)通信公司, 延迟: 133 ms, 速率: 1.09 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 422e3debf8627e820f6406bc, 名称: CCTV-5, 状态: 有效, 接口: http://207.56.13.146:81/cdnlive/cctv5.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-科罗拉多州, 运营商: NTT(美国)通信公司, 延迟: 205 ms, 速率: 2.54 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 167ea71f845636c57bb203f1, 名称: CCTV-5, 状态: 有效, 接口: http://112.30.73.119:9901/tsfile/live/0005_2.m3u8?key=%2A%2A%2A&playlive=0&authid=%2A%2A%2A, 来源: 订阅源, 协议类型: ipv4, 位置: 中国-安徽-合肥, 运营商: 移动, 延迟: 339 ms, 速率: 0.56 MiB/s, 分辨率: 1920x1080, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: 0cc82e23e39e4c7a41904626, 名称: CCTV-5+, 状态: 有效, 接口: http://120.76.248.139/live/bfgd/4200000246.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 中国-浙江-杭州, 运营商: 阿里云BGP数据中心, 延迟: 668 ms, 速率: 0.64 MiB/s, 分辨率: 1920x1080, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: a01fbbb33dddf47f94e6a6e7, 名称: CCTV-5, 状态: 有效, 接口: http://t.061899.xyz/tl/tl.php?id=cctv5, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: CloudFlare节点, 延迟: 1584 ms, 速率: 1.75 MiB/s, 分辨率: 1920x1080, 帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
ID: 18328205634da65080206590, 名称: CCTV-5+, 状态: 有效, 接口: http://47.97.252.137:8088/tvlive/cctv5p.m3u8?node=2, 来源: 订阅源, 协议类型: ipv4, 位置: 中国-浙江-杭州, 运营商: 阿里云, 延迟: 54 ms, 速率: 1.45 MiB/s, 分辨率: 1280x720, 帧率: 60.0, 视频编解码器: h264, 音频编解码器: aac
ID: b40738b248a7db70e06b1077, 名称: CCTV-6, 状态: 有效, 接口: http://74.91.26.218:82/live/cctv6hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 54 ms, 速率: 3.59 MiB/s, 分辨率: 1280x720, 帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
ID: f8d14b6590120cf48d500a35, 名称: CCTV-6, 状态: 有效, 接口: http://198.204.228.26/live/cctv6hd.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: —, 延迟: 35 ms, 速率: 3.50 MiB/s, 分辨率: 1280x720, 帧率: 60.0, 视频编解码器: h264, 音频编解码器: aac
